============================== SRIM-2008.04 ==============================
==============================================================================
=================  TRANSMIT.txt : File of Transmitted Ions  ==================
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom, B= Backscattered Ion, T= Transmitted Ion.   =
=  Col.#2: Ion Number, Col.#3: Z of atom leaving, Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target, Y,Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.=  H(2 MeV) ==> Carbon(  6 um) ==============================
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T 2812  1 .1669074E+07   6000123E-02 -.3593E+03  .1478E+02   .9997807 -.0193787  .0079370
T 2813  1 .1658870E+07   6000162E-02  .4884E+03 -.2452E+03   .9997352  .0128749 -.0190736
T 2814  1 .1692124E+07   6000049E-02  .6466E+03  .7295E+02   .9999652  .0071158 -.0043435
T 2815  1 .1696105E+07   6000070E-02 -.1326E+02 -.2578E+03   .9998721  .0157746 -.0026193
T 2816  1 .1698281E+07   6000108E-02  .3738E+03  .4470E+03   .9997247  .0193029  .0133408
T 2817  1 .1708678E+07   6000067E-02 -.4152E+03  .5476E+03   .9992665 -.0332524  .0189952
T 2818  1 .1672430E+07   6000030E-02  .3675E+03  .1019E+02   .9999989 -.0013672  .0005738
T 2819  1 .1714757E+07   6000005E-02 -.1250E+04 -.6191E+03   .9996445 -.0266143 -.0015724
T 2820  1 .1679200E+07   6000027E-02  .8444E+02 -.2177E+03   .9999933  .0032577 -.0016425
T 2821  1 .1686241E+07   6000173E-02 -.3962E+03 -.2441E+03   .9999532  .0092151  .0029401
T 2822  1 .1700015E+07   6000049E-02  .5966E+03  .3206E+03   .9998152  .0145899  .0125211
T 2823  1 .1667431E+07   6000012E-02 -.7223E+03 -.1626E+02   .9998138 -.0182177  .0063627
T 2824  1 .1713410E+07   6000029E-02 -.6776E+03 -.1994E+01   .9990815 -.0389055  .0179581
T 2825  1 .1679518E+07   6000109E-02  .4146E+03 -.1268E+03   .9998929  .0145036 -.0019515
T 2826  1 .1684930E+07   6000047E-02  .3554E+03  .6229E+03   .9997203  .0124319  .0201213
T 2827  1 .1684567E+07   6000067E-02  .3328E+03  .6504E+03   .9986736  .0396547  .0328426
T 2828  1 .1670355E+07   6000162E-02 -.3464E+03  .3405E+03   .9989949 -.0325725  .0307926
T 2829  1 .1679585E+07   6000033E-02 -.4808E+03 -.4450E+02   .9998243 -.0140624 -.0123930
T 2830  1 .1690565E+07   6000173E-02 -.1879E+03 -.2458E+02   .9997669 -.0090233 -.0196138
T 2831  1 .1664655E+07   6000175E-02 -.6437E+01  .5944E+03   .9994204  .0016534  .0340008
T 2832  1 .1691124E+07   6000043E-02  .1294E+03 -.9453E+02   .9999878  .0038638 -.0030875
T 2833  1 .1681172E+07   6000053E-02  .3591E+03 -.1570E+02   .9999541  .0083873  .0046312
T 2834  1 .1690302E+07   6000116E-02 -.7788E+02  .7359E+03   .9996583 -.0070573  .0251677
T 2835  1 .1707205E+07   6000119E-02 -.8393E+02 -.3726E+03   .9999926 -.0029471  .0024642
T 2836  1 .1699106E+07   6000078E-02 -.1056E+03 -.3032E+03   .9998905 -.0006629 -.0147820
T 2837  1 .1695099E+07   6000042E-02 -.1719E+03  .1189E+03   .9999953  .0026771  .0014816
T 2838  1 .1675186E+07   6000015E-02 -.2084E+03 -.2443E+03   .9998719 -.0036718 -.0155787
T 2839  1 .1669195E+07   6000041E-02 -.1178E+04 -.2859E+03   .9995067 -.0192249 -.0248362
T 2840  1 .1689195E+07   6000008E-02 -.1388E+03 -.2819E+03   .9999544 -.0047421 -.0082849
T 2841  1 .1699459E+07   6000067E-02 -.5466E+03  .2714E+03   .9999626 -.0027135  .0082158
T 2842  1 .1674939E+07   6000058E-02  .1567E+03  .1145E+03   .9999887 -.0002928 -.0047468
T 2843  1 .1681619E+07   6000004E-02 -.5205E+03 -.1763E+01   .9995106 -.0306050  .0064760
T 2844  1 .1692944E+07   6000033E-02 -.4384E+03  .6952E+02   .9997460 -.0221406  .0042068
T 2845  1 .1696247E+07   6000016E-02  .3414E+03  .1537E+03   .9999500  .0094631  .0032319
T 2846  1 .1653748E+07   6000132E-02  .3057E+03  .5725E+03   .9997408  .0119285  .0193896
T 2847  1 .1661431E+07   6000128E-02  .1707E+03  .3488E+03   .9999050 -.0044447  .0130455
T 2848  1 .1663926E+07   6000139E-02  .8419E+02  .1875E+03   .9999884 -.0041065  .0025135
T 2849  1 .1683130E+07   6000138E-02  .9782E+02  .1490E+03   .9999013  .0071859  .0120696
T 2850  1 .1673885E+07   6000104E-02 -.3960E+03 -.7452E+02   .9999646 -.0083949  .0006026
T 2851  1 .1685404E+07   6000073E-02 -.7453E+03  .5072E+03   .9995235 -.0274069  .0142022
T 2852  1 .1688761E+07   6000090E-02  .1292E+03  .4324E+03   .9998437  .0118549  .0131155
T 2853  1 .1692612E+07   6000067E-02 -.1417E+03  .2741E+03   .9997822  .0103435  .0181260
T 2854  1 .1707885E+07   6000133E-02  .3861E+03  .4981E+03   .9999168  .0110489  .0066533
T 2855  1 .1695923E+07   6000051E-02  .7165E+02 -.3114E+02   .9999996 -.0008481 -.0000608
T 2856  1 .1675709E+07   6000153E-02 -.2040E+01  .1787E+03   .9998774  .0109469  .0111924
T 2857  1 .1692207E+07   6000036E-02  .7843E+03 -.9892E+02   .9998472  .0113283 -.0133112
T 2858  1 .1687678E+07   6000146E-02 -.2343E+03 -.2912E+03   .9998923 -.0069684 -.0129180
T 2859  1 .1678792E+07   6000031E-02  .1533E+03  .3167E+03   .9999356 -.0006130  .0113323
T 2860  1 .1675867E+07   6000081E-02  .3836E+03 -.3138E+02   .9999477 -.0083706  .0058757
T 2861  1 .1694654E+07   6000128E-02 -.7090E+02  .2693E+03   .9996806 -.0035966  .0250167
T 2862  1 .1680589E+07   6000154E-02 -.3471E+03  .3391E+03   .9998408 -.0094119  .0151583
T 2863  1 .1676940E+07   6000031E-02  .4314E+03  .9918E+02   .9998954  .0078695  .0121318
T 2864  1 .1729388E+07   6000165E-02 -.2189E+03 -.5346E+03   .9998611 -.0078783 -.0146880
T 2865  1 .1679543E+07   6000107E-02 -.7358E+03  .4076E+03   .9994432 -.0274001  .0190381
T 2866  1 .1677395E+07   6000149E-02  .9156E+02 -.4474E+03   .9999527  .0020175 -.0095141
T 2867  1 .1686368E+07   6000050E-02 -.3570E+03 -.5709E+02   .9999758 -.0049695  .0048730
T 2868  1 .1687615E+07   6000162E-02 -.5440E+03 -.1488E+03   .9999477 -.0010141  .0101725
T 2869  1 .1674997E+07   6000037E-02  .3771E+03 -.1163E+02   .9998786  .0145971  .0054564
T 2870  1 .1709843E+07   6000092E-02 -.7851E+03  .1211E+04   .9988898  .0174075  .0437737
T 2871  1 .1696129E+07   6000120E-02 -.3229E+03  .4017E+03   .9998698  .0005146  .0161284
T 2872  1 .1657456E+07   6000159E-02  .3145E+03 -.5624E+02   .9998824  .0153036 -.0009468
T 2873  1 .1673681E+07   6000102E-02  .4553E+03  .2836E+03   .9997963  .0159575  .0123590
T 2874  1 .1670302E+07   6000127E-02  .1745E+03 -.2225E+02   .9999465 -.0083035  .0061623
T 2875  1 .1695326E+07   6000056E-02 -.1647E+03 -.5085E+03   .9997652 -.0083662 -.0199875
T 2876  1 .1686750E+07   6000063E-02 -.3775E+02 -.2946E+03   .9993637 -.0294267 -.0201543
T 2877  1 .1668864E+07   6000159E-02 -.9255E+03  .4996E+03   .9999231 -.0080505  .0094320
T 2878  1 .1679090E+07   6000066E-02 -.4832E+03 -.8694E+02   .9997893 -.0199451  .0048476
T 2879  1 .1710989E+07   6000139E-02 -.3374E+03  .3554E+03   .9999786 -.0049275  .0043102
T 2880  1 .1706293E+07   6000156E-02 -.8972E+03 -.1145E+04   .9993008 -.0209061 -.0309973
T 2881  1 .1693217E+07   6000088E-02  .6861E+03  .1125E+04   .9986106  .0202597  .0486451
T 2882  1 .1679854E+07   6000058E-02 -.6599E+03  .2428E+03   .9995153  .0176775  .0256248
T 2883  1 .1676980E+07   6000159E-02 -.6762E+01  .1477E+03   .9999883 -.0044908  .0017862
T 2884  1 .1666381E+07   6000040E-02 -.4211E+03 -.5396E+03   .9994949 -.0110158 -.0298097
T 2885  1 .1689574E+07   6000121E-02  .2006E+02  .7112E+02   .9999375 -.0077273  .0080783
T 2886  1 .1692807E+07   6000024E-02 -.1375E+03  .8053E+02   .9999700  .0000667  .0077399
T 2887  1 .1685763E+07   6000077E-02  .8879E+02  .1245E+04   .9996763  .0073738  .0243509
T 2888  1 .1673327E+07   6000150E-02  .2984E+03 -.6036E+03   .9998465  .0067793 -.0161579
T 2889  1 .1686871E+07   6000171E-02 -.3082E+03 -.6294E+03   .9997118 -.0080072 -.0226307
T 2890  1 .1670921E+07   6000099E-02 -.1786E+03  .3899E+02   .9999579 -.0055875  .0072800
T 2891  1 .1693274E+07   6000057E-02  .2018E+03 -.3658E+03   .9997235 -.0075960 -.0222557
T 2892  1 .1685026E+07   6000070E-02  .3594E+03  .4162E+03   .9996958 -.0121184  .0214825
T 2893  1 .1673325E+07   6000069E-02  .2907E+03  .1629E+03   .9998433 -.0088542  .0153299
T 2894  1 .1676244E+07   6000074E-02  .1157E+04  .2690E+03   .9993228  .0363599  .0056545
T 2895  1 .1695478E+07   6000161E-02 -.1283E+02  .4358E+03   .9999830  .0000769  .0058379
T 2896  1 .1684355E+07   6000012E-02 -.1327E+02 -.4436E+03   .9999446 -.0000192 -.0105232
T 2897  1 .1697011E+07   6000091E-02 -.2415E+02 -.3049E+03   .9999040  .0053640 -.0127790
T 2898  1 .1669020E+07   6000112E-02  .1410E+03  .1464E+03   .9999344 -.0092699  .0067254
T 2899  1 .1708993E+07   6000016E-02 -.6005E+02  .3245E+03   .9999030 -.0104608  .0092000
T 2900  1 .1700192E+07   6000124E-02 -.1577E+03 -.6223E+02   .9999778 -.0058829 -.0031239
T 2901  1 .1679189E+07   6000152E-02 -.7249E+02 -.5696E+03   .9999531 -.0018596 -.0095088
T 2902  1 .1706764E+07   6000169E-02  .2487E+02 -.2367E+03   .9999981 -.0004653 -.0018830
T 2903  1 .1672994E+07   6000026E-02  .6324E+02  .2826E+03   .9999219  .0067843  .0105001
T 2904  1 .1678903E+07   6000107E-02 -.4659E+03  .2731E+03   .9998737 -.0158906 -.0001374
T 2905  1 .1680572E+07   6000100E-02  .4521E+03  .9920E+02   .9999410  .0081111  .0072294
T 2906  1 .1698076E+07   6000002E-02 -.5761E+03 -.1549E+03   .9996954 -.0147764 -.0197663
T 2907  1 .1701125E+07   6000170E-02  .6750E+02  .6826E+03   .9997964  .0027558  .0199873
T 2908  1 .1704908E+07   6000075E-02 -.5213E+03 -.1686E+02   .9996565 -.0148132  .0216189
T 2909  1 .1701882E+07   6000124E-02 -.5620E+03  .1269E+03   .9998448 -.0144207  .0101214
T 2910  1 .1693295E+07   6000159E-02 -.3472E+03 -.2215E+03   .9999895 -.0043947  .0012815
T 2911  1 .1680048E+07   6000170E-02 -.5066E+02 -.1830E+03   .9995615 -.0218341 -.0200006
T 2912  1 .1672924E+07   6000014E-02  .3051E+02 -.2515E+03   .9999545  .0094001 -.0016080
T 2913  1 .1696255E+07   6000081E-02  .1927E+03  .7874E+03   .9998566 -.0076725  .0150957
T 2914  1 .1679745E+07   6000176E-02 -.1728E+03  .8404E+02   .9999270 -.0120738  .0004561
T 2915  1 .1698393E+07   6000123E-02 -.1969E+03 -.2702E+03   .9996984 -.0245225 -.0013191
T 2916  1 .1662069E+07   6000140E-02  .9056E+03 -.8857E+03   .9993056  .0262240 -.0264684
T 2917  1 .1678687E+07   6000062E-02 -.2214E+03 -.9221E+02   .9999943  .0033718  .0002921
T 2918  1 .1690105E+07   6000030E-02 -.1294E+03  .2951E+03   .9999539 -.0038066  .0088192
T 2919  1 .1654590E+07   6000016E-02 -.3049E+03  .5327E+03   .9996724 -.0179340  .0182609
T 2920  1 .1690693E+07   6000100E-02 -.1703E+03 -.2374E+02   .9999879 -.0041676 -.0026242
T 2921  1 .1685668E+07   6000144E-02 -.4956E+03  .5901E+03   .9958053 -.0449446  .0796983
T 2922  1 .1684900E+07   6000131E-02 -.2721E+03 -.2063E+03   .9999225 -.0101241  .0072426
T 2923  1 .1683807E+07   6000163E-02 -.6081E+03 -.1204E+04   .9996349  .0009732 -.0270018
T 2924  1 .1704192E+07   6000111E-02  .3467E+03  .2404E+03   .9998249  .0139436  .0124803
T 2925  1 .1681969E+07   6000058E-02 -.4381E+02 -.2546E+03   .9999142  .0058951 -.0116968
T 2926  1 .1676147E+07   6000151E-02 -.2986E+01 -.5268E+03   .9994577  .0055828 -.0324519
T 2927  1 .1699590E+07   6000064E-02 -.1196E+03 -.1859E+03   .9999389  .0039086 -.0103391
T 2928  1 .1704029E+07   6000002E-02  .1284E+03 -.4859E+02   .9999283 -.0019466 -.0118168
T 2929  1 .1685710E+07   6000059E-02 -.8527E+03 -.1720E+03   .9998805 -.0150980  .0033234
T 2930  1 .1686583E+07   6000167E-02  .7678E+02  .6458E+03   .9998562 -.0154000  .0071057
T 2931  1 .1702962E+07   6000124E-02  .4159E+03  .3461E+03   .9994447  .0073565  .0324993
T 2932  1 .1702777E+07   6000056E-02 -.6721E+01 -.1010E+04   .9996318 -.0025756 -.0270123
T 2933  1 .1677798E+07   6000049E-02 -.6610E+03  .4330E+02   .9998542 -.0166344  .0038585
T 2934  1 .1687847E+07   6000167E-02 -.3038E+03 -.3754E+03   .9999091 -.0033043 -.0130729
T 2935  1 .1696633E+07   6000019E-02 -.1779E+03  .3200E+03   .9997534 -.0126917  .0182252
T 2936  1 .1680137E+07   6000007E-02 -.1200E+03  .3870E+03   .9999247  .0082586  .0090792
T 2937  1 .1680320E+07   6000178E-02 -.2290E+02 -.1669E+03   .9999505  .0022134 -.0097043
T 2938  1 .1688680E+07   6000167E-02  .1768E+04  .1154E+04   .9986825  .0456700  .0234007
T 2939  1 .1703248E+07   6000008E-02 -.7612E+03  .6298E+03   .9992165 -.0350794  .0183268
T 2940  1 .1674052E+07   6000090E-02 -.9548E+02 -.2612E+03   .9999965  .0025016 -.0008557
T 2941  1 .1701097E+07   6000093E-02 -.4667E+03 -.3551E+03   .9994946 -.0286654 -.0137399
T 2942  1 .1674821E+07   6000006E-02  .2291E+03 -.7325E+02   .9999627  .0051330 -.0069523
T 2943  1 .1676243E+07   6000074E-02  .6458E+01 -.1298E+03   .9998629  .0023157 -.0163938
T 2944  1 .1664804E+07   6000014E-02  .2191E+03  .5350E+03   .9997568  .0023742  .0219271
T 2945  1 .1661920E+07   6000144E-02  .3991E+03  .7961E+03   .9995542  .0232976  .0186720
T 2946  1 .1654719E+07   6000153E-02  .6537E+02  .4736E+02   .9999579  .0077516  .0049033
T 2947  1 .1708485E+07   6000158E-02  .4534E+03 -.2916E+03   .9998499  .0170680  .0029789
T 2948  1 .1674149E+07   6000063E-02  .2662E+03  .5709E+02   .9998820  .0126122  .0087717
T 2949  1 .1672696E+07   6000092E-02 -.2209E+03  .3674E+03   .9999639 -.0029711  .0079551
T 2950  1 .1684348E+07   6000055E-02 -.3117E+03  .7560E+02   .9999719 -.0074334 -.0009676
T 2951  1 .1701967E+07   6000136E-02 -.1055E+03  .4236E+02   .9999083 -.0130166  .0037360
T 2952  1 .1677763E+07   6000176E-02 -.3261E+03  .3267E+03   .9997767 -.0210445  .0019297
T 2953  1 .1681538E+07   6000095E-02  .1556E+03 -.2033E+03   .9997980  .0086187 -.0181587
T 2954  1 .1694537E+07   6000045E-02  .4125E+03  .2217E+02   .9998284  .0180878  .0039992
T 2955  1 .1706582E+07   6000011E-02  .4578E+02  .1561E+02   .9999126 -.0113055 -.0068566
T 2956  1 .1680861E+07   6000159E-02  .1618E+03  .2640E+03   .9999215  .0032346  .0121060
T 2957  1 .1669172E+07   6000155E-02  .2983E+03 -.1344E+03   .9999618  .0037703  .0078903
T 2958  1 .1681022E+07   6000166E-02 -.5106E+03 -.1540E+03   .9998534 -.0168497  .0030368
T 2959  1 .1710271E+07   6000060E-02  .2557E+03  .2329E+03   .9999149  .0027457  .0127551
T 2960  1 .1696320E+07   6000146E-02  .1595E+03 -.1933E+03   .9999707  .0028666  .0071023
T 2961  1 .1712684E+07   6000066E-02  .4741E+03 -.5925E+03   .9997700  .0047985 -.0209036
T 2962  1 .1703667E+07   6000058E-02  .1008E+02 -.8111E+01   .9999790  .0002094  .0064702
T 2963  1 .1694669E+07   6000005E-02  .2251E+03  .2214E+03   .9998633  .0057989  .0154814
T 2964  1 .1653586E+07   6000029E-02 -.3682E+03  .6533E+03   .9996283 -.0180500  .0204319
T 2965  1 .1674158E+07   6000044E-02  .1397E+03 -.3282E+03   .9999368 -.0015869 -.0111282
T 2966  1 .1680295E+07   6000072E-02 -.1545E+03 -.3362E+03   .9998762 -.0083079 -.0133650
T 2967  1 .1705887E+07   6000105E-02  .1701E+03  .4747E+03   .9974997  .0413796  .0572900
T 2968  1 .1686886E+07   6000074E-02 -.3342E+03  .3656E+03   .9998861 -.0080487  .0127658
T 2969  1 .1683303E+07   6000006E-02 -.2660E+03 -.3132E+03   .9999176 -.0126208  .0023571
T 2970  1 .1680689E+07   6000152E-02 -.1275E+04  .9154E+03   .9991547 -.0358118  .0201842
T 2971  1 .1685186E+07   6000106E-02  .2603E+03 -.5073E+02   .9998509  .0165770  .0048255
T 2972  1 .1689508E+07   6000018E-02  .3821E+03  .4673E+03   .9998990  .0057312  .0130030
T 2973  1 .1692046E+07   6000141E-02  .6570E+03 -.1325E+04   .9992092  .0259831 -.0300983
T 2974  1 .1688992E+07   6000115E-02  .1483E+04 -.4222E+03   .9984128  .0562830 -.0020240
T 2975  1 .1677403E+07   6000127E-02  .5900E+03  .7983E+03   .9935514 -.0393415  .1063384
T 2976  1 .1682905E+07   6000015E-02  .2777E+03  .2429E+03   .9998031  .0063655  .0187927
T 2977  1 .1705793E+07   6000029E-02  .2995E+03 -.1146E+02   .9997525  .0085970 -.0205174
T 2978  1 .1677708E+07   6000069E-02  .9600E+03 -.2527E+03   .9995045  .0308469 -.0062633
T 2979  1 .1699066E+07   6000048E-02  .9551E+02 -.3565E+02   .9999342  .0036541  .0108779
T 2980  1 .1684001E+07   6000032E-02 -.1950E+01  .3954E+03   .9999735 -.0014023  .0071448
T 2981  1 .1685542E+07   6000065E-02 -.8667E+03  .2522E+03   .9997641 -.0190780  .0103780
T 2982  1 .1670598E+07   6000131E-02  .6666E+03 -.8385E+03   .9998522  .0128715 -.0113967
T 2983  1 .1678688E+07   6000132E-02  .1756E+03 -.4825E+03   .9997926  .0118617 -.0165527
T 2984  1 .1684095E+07   6000013E-02 -.4238E+03  .4513E+03   .9998922 -.0090811  .0115403
T 2985  1 .1680634E+07   6000000E-02  .9385E+02  .1970E+03   .9998325  .0039688  .0178690
T 2986  1 .1702125E+07   6000040E-02  .4389E+03 -.1664E+03   .9998162  .0027113 -.0189792
T 2987  1 .1676109E+07   6000103E-02 -.1208E+04 -.2018E+03   .9996931 -.0233045  .0084013
T 2988  1 .1665424E+07   6000053E-02  .4539E+03 -.7306E+02   .9997576  .0218774  .0024611
T 2989  1 .1681348E+07   6000141E-02  .5497E+02 -.1686E+02   .9999643  .0081858  .0021145
T 2990  1 .1679319E+07   6000166E-02  .1635E+03 -.2583E+03   .9999971  .0008053  .0022821
T 2991  1 .1667958E+07   6000014E-02  .2868E+02 -.4742E+03   .9999974 -.0020171 -.0010617
T 2992  1 .1663962E+07   6000053E-02 -.1423E+03 -.4797E+01   .9993745  .0273909  .0223675
T 2993  1 .1668367E+07   6000131E-02 -.4040E+03 -.2369E+01   .9999744 -.0037709  .0060835
T 2994  1 .1680285E+07   6000004E-02  .4575E+03  .2803E+03   .9998938  .0128528  .0068705
T 2995  1 .1711606E+07   6000013E-02 -.8800E+03  .3695E+02   .9996139 -.0275684 -.0034641
T 2996  1 .1681723E+07   6000146E-02  .1700E+03  .1362E+03   .9999384  .0049140  .0099485
T 2997  1 .1690968E+07   6000176E-02  .2043E+03 -.1883E+03   .9999027  .0124726 -.0062404
T 2998  1 .1667257E+07   6000095E-02 -.4145E+03  .2426E+03   .9996515 -.0225110  .0137897
T 2999  1 .1667565E+07   6000154E-02 -.4898E+03 -.9799E+02   .9999287 -.0108235 -.0050438
T 3000  1 .1684384E+07   6000177E-02 -.2989E+03  .1289E+03   .9998407 -.0170048  .0054149
T 3001  1 .1671481E+07   6000033E-02  .3697E+03 -.1227E+03   .9998105  .0175328 -.0084596
T 3002  1 .1676225E+07   6000100E-02  .2923E+03  .1303E+03   .9999803  .0062175 -.0008216
T 3003  1 .1676800E+07   6000048E-02  .2992E+03 -.2189E+02   .9999805  .0055890  .0027959
T 3004  1 .1680846E+07   6000134E-02 -.6403E+01 -.5013E+02   .9999924 -.0022588 -.0031826
T 3005  1 .1671153E+07   6000112E-02 -.5536E+03 -.3074E+03   .9998305 -.0111787 -.0146274
T 3006  1 .1681165E+07   6000135E-02 -.2786E+02  .2653E+03   .9999966 -.0008516  .0024779
T 3007  1 .1655676E+07   6000019E-02  .1807E+03 -.2333E+03   .9997866  .0131656 -.0159169
T 3008  1 .1691304E+07   6000137E-02  .9721E+03  .3259E+03   .9992436  .0346703  .0176125
T 3009  1 .1685033E+07   6000094E-02  .2625E+03  .7123E+03   .9999253  .0061081  .0105886
T 3010  1 .1690893E+07   6000165E-02  .7405E+02 -.6598E+03   .9999512  .0016391 -.0097417
T 3011  1 .1692874E+07   6000120E-02 -.3321E+03 -.3096E+03   .9998744 -.0087455 -.0132179
T 3012  1 .1669574E+07   6000065E-02 -.3250E+03  .4539E+03   .9996163 -.0110509  .0253987
T 3013  1 .1683000E+07   6000079E-02  .8946E+03  .2944E+03   .9995767  .0236193  .0169893
T 3014  1 .1698540E+07   6000123E-02  .1069E+04 -.1346E+03   .9996008  .0278062  .0050050
T 3015  1 .1677444E+07   6000074E-02 -.4635E+03 -.4156E+03   .9997543 -.0195256 -.0104880
T 3016  1 .1677119E+07   6000109E-02 -.2158E+03  .9909E+02   .9999887  .0032216  .0035077
T 3017  1 .1698224E+07   6000116E-02 -.9095E+01  .4661E+03   .9998927  .0096146  .0110488
T 3018  1 .1691361E+07   6000161E-02 -.3160E+03 -.6091E+02   .9998612 -.0134079  .0098898
T 3019  1 .1707891E+07   6000092E-02 -.1495E+03 -.6130E+03   .9996644 -.0017618 -.0258462
T 3020  1 .1676110E+07   6000117E-02  .3471E+03  .3325E+03   .9999908  .0009566  .0041723
T 3021  1 .1678923E+07   6000121E-02 -.7051E+03 -.4066E+03   .9999262 -.0120849  .0012326
T 3022  1 .1680264E+07   6000086E-02  .2215E+03 -.7706E+03   .9984908  .0195478 -.0513223
T 3023  1 .1653495E+07   6000007E-02 -.1325E+03 -.7045E+03   .9998591 -.0052904 -.0159289
T 3024  1 .1701100E+07   6000177E-02 -.8332E+02 -.1672E+03   .9999824 -.0041175 -.0042628
T 3025  1 .1702629E+07   6000142E-02  .5660E+03 -.7878E+03   .9996602  .0146118 -.0215876
T 3026  1 .1676889E+07   6000050E-02  .7734E+03  .1995E+03   .9992671  .0382282  .0019854
T 3027  1 .1721634E+07   6000075E-02 -.6129E+03  .1270E+03   .9999084 -.0133525  .0022266
T 3028  1 .1680182E+07   6000137E-02 -.1511E+04  .6369E+03   .9978955 -.0597656  .0251539
T 3029  1 .1669586E+07   6000126E-02  .8532E+02 -.3109E+03   .9999540  .0058058 -.0076318
T 3030  1 .1691029E+07   6000090E-02 -.4270E+02 -.1302E+03   .9999813 -.0048086 -.0037763
T 3031  1 .1698801E+07   6000105E-02  .3431E+03 -.2610E+03   .9999572  .0092265 -.0006098
T 3032  1 .1682941E+07   6000010E-02  .7322E+03  .6799E+02   .9989644  .0454986 -.0001915
T 3033  1 .1690176E+07   6000009E-02  .8161E+02  .2373E+03   .9998907  .0135484  .0059241
T 3034  1 .1694031E+07   6000147E-02  .5492E+03 -.8841E+02   .9997408  .0225905  .0028345
T 3035  1 .1684493E+07   6000014E-02 -.3080E+03  .3419E+03   .9999907  .0017964  .0039302
T 3036  1 .1697781E+07   6000163E-02 -.6279E+02  .9806E+01   .9999736 -.0056270  .0045934
T 3037  1 .1687286E+07   6000149E-02 -.6298E+03 -.4246E+02   .9996246 -.0273959 -.0003827
T 3038  1 .1695008E+07   6000140E-02 -.2075E+03 -.1842E+03   .9999491 -.0081622 -.0059228
T 3039  1 .1669229E+07   6000012E-02  .8209E+02 -.6418E+03   .9999177 -.0004604 -.0128249
T 3040  1 .1712322E+07   6000034E-02  .3178E+03 -.4414E+03   .9998767  .0132235 -.0084658
T 3041  1 .1668737E+07   6000131E-02 -.1767E+02 -.1537E+03   .9999689  .0078848 -.0000339
T 3042  1 .1692536E+07   6000138E-02 -.1118E+03 -.6984E+03   .9997748  .0000464 -.0212203
T 3043  1 .1696508E+07   6000024E-02  .1764E+03 -.3276E+03   .9999370  .0066033 -.0090774
T 3044  1 .1699023E+07   6000005E-02 -.3879E+03 -.4347E+03   .9971210 -.0629788 -.0422299
T 3045  1 .1678202E+07   6000153E-02  .1256E+03 -.4875E+03   .9998433  .0134495 -.0115065
T 3046  1 .1681720E+07   6000044E-02  .5544E+03 -.5574E+03   .9999267  .0032295 -.0116666
T 3047  1 .1689255E+07   6000151E-02  .1473E+03 -.1502E+03   .9999824  .0059267  .0001212
T 3048  1 .1681336E+07   6000139E-02  .1670E+03  .4753E+03   .9998415 -.0027401  .0175918
T 3049  1 .1693309E+07   6000164E-02  .1429E+03  .5828E+02   .9998952  .0044873 -.0137633
T 3050  1 .1683449E+07   6000070E-02 -.5299E+03 -.1876E+03   .9994146 -.0311009 -.0142514
T 3051  1 .1698807E+07   6000138E-02  .1588E+03  .9073E+02   .9999272  .0094339  .0075178
T 3052  1 .1699775E+07   6000143E-02  .1454E+03  .8469E+02   .9998939  .0093207 -.0111905
T 3053  1 .1667551E+07   6000016E-02  .4929E+02 -.3503E+02   .9999619  .0087203 -.0004809
T 3054  1 .1686670E+07   6000174E-02  .2515E+03  .3108E+03   .9998723  .0126483  .0097714
T 3055  1 .1665394E+07   6000086E-02 -.9571E+02  .1296E+03   .9999187  .0037960  .0121742
T 3056  1 .1664045E+07   6000100E-02  .2010E+03 -.5181E+02   .9999351  .0104065  .0046297
T 3057  1 .1707811E+07   6000019E-02  .2918E+03 -.3734E+03   .9997910  .0062212 -.0194743
T 3058  1 .1690988E+07   6000069E-02 -.1127E+03 -.3836E+03   .9999711 -.0042098 -.0063253
T 3059  1 .1691242E+07   6000161E-02  .6071E+03 -.9616E+02   .9998555  .0163810 -.0045435
T 3060  1 .1711484E+07   6000168E-02  .4177E+02 -.3269E+03   .9999776  .0065715  .0012582
T 3061  1 .1674704E+07   6000016E-02  .3389E+03 -.7395E+02   .9999550  .0075291  .0057760
T 3062  1 .1681931E+07   6000006E-02 -.1387E+04 -.2021E+02   .9992344 -.0388352  .0047348
T 3063  1 .1702192E+07   6000078E-02 -.9887E+02  .5090E+03   .9994351  .0156410  .0297460
T 3064  1 .1686782E+07   6000011E-02  .6934E+03 -.4769E+03   .9996762  .0176021 -.0183731
T 3065  1 .1713061E+07   6000157E-02 -.5679E+03  .2456E+02   .9998352 -.0181350 -.0008205
T 3066  1 .1678549E+07   6000037E-02 -.4723E+03 -.2611E+03   .9998398 -.0157646 -.0084762
T 3067  1 .1677350E+07   6000117E-02  .2104E+03 -.4436E+03   .9998511  .0004982 -.0172472
T 3068  1 .1694162E+07   6000099E-02  .8572E+02  .5780E+02   .9999253  .0106078  .0060758
